coleta,umid,temp
13/08/2020 09:22:10,69.0,21.0
13/08/2020 09:22:18,69.0,21.0
13/08/2020 09:22:26,69.0,21.0
13/08/2020 09:22:32,74.0,21.0
13/08/2020 09:22:37,69.0,21.0
13/08/2020 09:22:43,69.0,21.0
13/08/2020 09:22:51,69.0,21.0
13/08/2020 09:22:57,74.0,21.0
13/08/2020 09:23:02,69.0,21.0
13/08/2020 09:23:08,69.0,21.0
13/08/2020 09:23:13,69.0,21.0
13/08/2020 09:23:24,74.0,21.0
13/08/2020 09:23:29,74.0,21.0
13/08/2020 09:23:37,69.0,21.0
13/08/2020 09:23:43,74.0,21.0
13/08/2020 09:23:48,69.0,21.0
13/08/2020 09:23:56,69.0,21.0
13/08/2020 09:24:02,74.0,21.0
13/08/2020 09:24:08,68.0,21.0
13/08/2020 09:24:13,68.0,21.0
13/08/2020 09:24:19,68.0,21.0
13/08/2020 09:24:24,68.0,21.0
13/08/2020 09:24:30,68.0,21.0
13/08/2020 09:24:38,68.0,21.0
13/08/2020 09:24:43,74.0,21.0
13/08/2020 09:24:49,68.0,21.0
13/08/2020 09:24:54,68.0,21.0
13/08/2020 09:25:00,68.0,21.0
13/08/2020 09:25:05,68.0,21.0
13/08/2020 09:25:11,69.0,21.0
13/08/2020 09:25:16,69.0,21.0
13/08/2020 09:25:22,69.0,21.0
13/08/2020 09:25:27,69.0,21.0
13/08/2020 09:25:33,69.0,21.0
13/08/2020 09:25:39,69.0,21.0
13/08/2020 09:25:44,69.0,21.0
13/08/2020 09:25:50,69.0,21.0
13/08/2020 09:25:55,69.0,21.0
13/08/2020 09:26:01,69.0,21.0
13/08/2020 09:26:06,69.0,21.0
13/08/2020 09:26:12,69.0,21.0
13/08/2020 09:26:20,69.0,21.0
13/08/2020 09:26:25,74.0,21.0
13/08/2020 09:26:31,69.0,21.0
13/08/2020 09:26:36,69.0,21.0
13/08/2020 09:26:44,69.0,21.0
13/08/2020 09:26:55,74.0,21.0
13/08/2020 09:27:03,69.0,21.0
13/08/2020 09:27:09,74.0,21.0
13/08/2020 09:27:17,69.0,21.0
13/08/2020 09:27:22,74.0,21.0
13/08/2020 09:27:28,69.0,21.0
13/08/2020 09:27:33,69.0,21.0
13/08/2020 09:27:41,69.0,21.0
13/08/2020 09:27:52,74.0,21.0
13/08/2020 09:27:57,74.0,21.0
13/08/2020 09:28:03,69.0,21.0
13/08/2020 09:28:08,69.0,21.0
