quantidade_pedido;data_pedido
0.0;2014-09-10 15:36:06
0.0;2014-09-10 15:36:46
0.0;2014-09-10 15:36:47
0.0;2014-09-10 15:39:57
1.0;2014-09-10 15:40:12
0.0;2014-09-10 15:41:08
0.0;2014-09-10 15:41:27
0.0;2014-09-10 15:54:18
1.0;2014-09-10 15:54:43
8.0;2014-09-10 15:55:55
0.0;2014-09-10 15:56:38
0.0;2014-09-10 15:56:39
0.0;2014-09-10 15:58:09
1.0;2014-09-10 15:58:21
1.0;2014-09-10 15:58:28
0.0;2014-09-10 15:58:38
0.0;2014-09-10 15:59:26
1.0;2014-09-10 15:59:53
0.0;2014-09-10 16:06:18
0.0;2014-09-10 16:08:58
0.0;2014-09-10 16:09:25
0.0;2014-09-10 16:09:31
2.0;2014-09-10 16:13:16
1.0;2014-09-10 16:14:30
0.0;2014-09-10 16:14:31
1.0;2014-09-10 16:15:03
4.0;2014-09-10 16:15:18
0.0;2014-09-10 16:15:33
1.0;2014-09-10 18:45:23
0.0;2014-09-10 18:47:07
6.0;2014-09-10 18:49:00
1.0;2014-09-10 18:50:47
0.0;2014-09-10 18:53:24
1.0;2014-09-10 19:00:25
0.0;2014-09-10 19:51:16
1.0;2014-09-10 20:00:28
1.0;2014-09-10 20:05:00
1.0;2014-09-10 20:12:51
0.0;2014-09-10 20:33:15
0.0;2014-09-10 20:39:42
0.0;2014-09-10 20:41:58
0.0;2014-09-10 20:46:12
1.0;2014-09-11 01:55:41
1.0;2014-09-11 02:02:06
1.0;2014-09-11 02:03:51
1.0;2014-09-11 02:04:54
1.0;2014-09-11 02:06:35
1.0;2014-09-11 02:08:57
1.0;2014-09-11 02:18:47
0.0;2014-09-11 02:19:43
1.0;2014-09-11 03:03:16
1.0;2014-09-11 03:04:51
1.0;2014-09-11 03:07:28
1.0;2014-09-11 03:08:25
1.0;2014-09-11 03:09:49
1.0;2014-09-11 03:23:46
0.0;2015-10-17 01:02:38
0.0;2015-10-17 01:02:43
0.0;2015-10-17 01:02:44
0.0;2015-10-17 01:02:54
0.0;2015-10-17 01:02:54
0.0;2015-10-17 01:02:58
0.0;2015-10-17 01:03:01
0.0;2015-10-17 01:03:05
0.0;2015-10-17 01:03:08
0.0;2015-10-17 01:03:12
0.0;2015-10-17 01:03:16
0.0;2015-10-17 01:03:19
0.0;2015-10-17 01:20:36
0.0;2015-10-17 01:26:39
5.0;2015-10-17 01:28:20
0.0;2015-10-17 01:30:11
0.0;2015-10-17 01:32:31
1.0;2015-10-17 01:33:21
1.0;2015-10-17 01:33:59
5.0;2015-10-17 01:49:31
0.0;2015-10-17 02:04:42
